id;name_rus;name_eng;name_constitution;name_fns;name_fias;name_rst_data;name_emiss;name_datawrapper;name_datawrapper_square;name_datawrapper_short;name_tableau;alternative_names;okato;oktmo;fns_code;iso_code;level;parent_id;parent_name
890;Республика Мордовия;Mordovia;Республика Мордовия;Республика Мордовия;Республика Мордовия;Республика Мордовия;Республика Мордовия;Республика Мордовия;Мордовия;МОР;Mordovia;;89000000;89000000;13;RU-MO;регион;6;Приволжский федеральный округ
920;Республика Татарстан;Tatarstan;Республика Татарстан (Татарстан);Республика Татарстан (Татарстан);Республика Татарстан (Татарстан);Республика Татарстан (Татарстан);Республика Татарстан (Татарстан);Республика Татарстан;Татарстан;ТАТ;Tatarstan;;92000000;92000000;16;RU-TA;регион;6;Приволжский федеральный округ
940;Удмуртская Республика;Udmurt;Удмуртская Республика;Удмуртская Республика;Удмуртская Республика;Удмуртская Республика;Удмуртская Республика;Удмуртская республика;Удмуртия;УДМ;Udmurt;;94000000;94000000;18;RU-UD;регион;6;Приволжский федеральный округ
970;Чувашская Республика;Chuvash;Чувашская Республика — Чувашия;Чувашская Республика - Чувашия;Чувашская Республика - Чувашия;Чувашская Республика - Чувашия;Чувашская Республика - Чувашия;Чувашская республика;Чувашия;ЧУВ;Chuvash;;97000000;97000000;21;RU-CU;регион;6;Приволжский федеральный округ
570;Пермский край;Perm;Пермский край;Пермский край;Пермский край;Пермский край;Пермский край;Пермский край;Пермский край;ПЕР;Perm;;57000000;57000000;59;RU-PER;регион;6;Приволжский федеральный округ
330;Кировская область;Kirov;Кировская область;Кировская область;Кировская область;Кировская область;Кировская область;Кировская область;Кировская область;КИР;Kirov;;33000000;33000000;43;RU-KIR;регион;6;Приволжский федеральный округ
220;Нижегородская область;Nizhny Novgorod;Нижегородская область;Нижегородская область;Нижегородская область;Нижегородская область;Нижегородская область;Нижегородская область;Нижегородская область;НИЖ;Nizhny Novgorod;;22000000;22000000;52;RU-NIZ;регион;6;Приволжский федеральный округ
530;Оренбургская область;Orenburg;Оренбургская область;Оренбургская область;Оренбургская область;Оренбургская область;Оренбургская область;Оренбургская область;Оренбургская область;ОРЕН;Orenburg;;53000000;53000000;56;RU-ORE;регион;6;Приволжский федеральный округ
560;Пензенская область;Penza;Пензенская область;Пензенская область;Пензенская область;Пензенская область;Пензенская область;Пензенская область;Пензенская область;ПЕН;Penza;;56000000;56000000;58;RU-PNZ;регион;6;Приволжский федеральный округ
360;Самарская область;Samara;Самарская область;Самарская область;Самарская область;Самарская область;Самарская область;Самарская область;Самарская область;САМ;Samara;;36000000;36000000;63;RU-SAM;регион;6;Приволжский федеральный округ
630;Саратовская область;Saratov;Саратовская область;Саратовская область;Саратовская область;Саратовская область;Саратовская область;Саратовская область;Саратовская область;САР;Saratov;;63000000;63000000;64;RU-SAR;регион;6;Приволжский федеральный округ
730;Ульяновская область;Ulyanovsk;Ульяновская область;Ульяновская область;Ульяновская область;Ульяновская область;Ульяновская область;Ульяновская область;Ульяновская область;УЛЬ;Ulyanovsk;;73000000;73000000;73;RU-ULY;регион;6;Приволжский федеральный округ
